KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,40,3,615,4077,D,02D,3h,4S,Sk,3,1,,1,110,,274,65,,1,1371,276,56,40,1,5,1968
11,68,40,3,1143,4078,D,09H,7f,3U,So,0,1,,1,60,,117,68,,1,276,276,56,40,1,4,1968
11,68,40,3,712,4079,S,03E,3e,4S,Bl,0,1,,1,76,,232,68,,1,276,276,56,40,1,5,1968
11,68,40,4,1751,4080,S,08G,0c,3U,Og,0,2,1,,50,,92,68,,1,277,277,56,40,2,5,1968
11,68,40,4,1847,4081,S,11H,1a,3U,Vs,0,1,,1,73,,145,68,,1,277,277,56,40,1,4,1968
11,68,40,2,616,4082,F,10C,5d,2H,Vr,0,1,,1,34,,230,68,,1,275,275,55,40,1,3,1968
11,68,39,6,3050,4083,F,12D,1a,2H,Vr,2,1,,1,64,,216,66,,1,1002,272,55,39,1,3,1968
11,68,40,5,3051,4084,F,12D,1a,2H,Vr,0,1,,1,44,,216,68,,1,278,278,56,40,1,3,1968
11,68,40,5,3052,4085,F,12D,1a,2H,Vr,0,2,1,,28,,216,68,,1,278,278,56,40,2,3,1968
11,68,40,5,617,4086,S,03C,3e,4S,Sk,0,2,1,,67,,322,68,,1,278,278,56,40,2,5,1968
11,68,41,1,713,4087,F,10G,4d,3U,So,0,2,1,,,,27,68,,1,281,281,57,41,2,4,1968
11,68,40,6,714,4088,F,11F,8b,2H,Vs,0,1,,1,45,,272,68,,1,279,279,56,40,1,4,1968
11,68,40,6,820,4089,D,11D,7a,2H,Vr,3,1,,1,89,,141,65,,1,1374,279,56,40,1,3,1968
11,68,39,5,618,4090,F,18F,3f,1L,Ja,0,2,,,42,,467,68,,1,271,271,55,39,2,2,1968
11,68,41,3,715,4091,F,10I,1c,3U,So,0,2,1,,49,,206,68,,1,283,283,57,41,2,4,1968
11,68,41,4,619,4092,S,10I,1c,3U,So,0,1,,1,65,,206,68,,1,284,284,57,41,1,4,1968
11,68,40,3,716,4093,F,11E,4e,2H,Vs,0,1,,1,38,,473,68,,1,276,276,56,40,1,4,1968
11,68,41,4,717,4094,F,11E,4e,2H,Vs,0,2,,,39,,473,68,,1,284,284,57,41,2,4,1968
11,68,41,6,718,4095,S,10I,1c,3U,So,1,2,1,,57,,206,67,,1,651,286,58,41,2,4,1968
11,68,41,5,620,4096,F,09E,8a,2H,Vr,0,2,,,42,,21,68,,1,285,285,57,41,2,3,1968
11,68,41,3,1652,4097,L,11H,2j,3U,Up,1,1,,1,63,,341,67,,1,648,283,57,41,1,4,1968
11,68,41,5,1653,4098,D,09G,7d,3U,So,0,1,,1,81,,210,68,,1,285,285,57,41,1,4,1968
11,68,41,6,821,4099,S,11H,2j,3U,Up,1,2,1,,57,,341,67,,1,651,286,58,41,2,4,1968
11,68,41,5,3053,4100,F,11D,2d,2H,Vr,0,1,,1,50,,366,68,,1,285,285,57,41,1,3,1968
11,68,41,6,3054,4101,F,11C,1j,2H,Vr,0,2,,,51,,366,68,,1,286,286,58,41,2,3,1968
11,68,42,6,3055,4102,D,11H,1h,3U,Up,2,1,,1,102,,207,66,,1,1023,293,59,42,1,4,1968
11,68,40,7,719,4103,F,18F,3f,1L,Ja,0,2,,,41,,467,68,,1,280,280,56,40,2,2,1968
11,68,40,5,1752,4104,S,08G,0c,3U,Og,1,1,,1,71,,159,67,,1,643,278,56,40,1,5,1968
11,68,40,7,939,4105,S,08G,0c,3U,Og,3,1,,1,72,,159,65,,1,1375,280,56,40,1,5,1968
